shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
机御旗舰店,2129.0,新品现货速发 24期分期】Xiaomi Civi 3新品<span class=H>手机</span><span class=H>小米</span>Civi3官方旗舰店官网正品新款拍照智能<span class=H>小米</span><span class=H>手机</span>civi3系列,719282411801,23,广东 深圳,1,1,1,0,1,天玑 8200-Ultra,5000+800+200,67,,3,5000
百亿补贴官方频道,2345.0,<span class=H>小米</span>12S骁龙8芯游戏<span class=H>手机</span>120Hz高刷新率大电量学生智能<span class=H>手机</span>正品,736948591912,12,浙江 杭州,0,0,1,0,0,骁龙8+,5000+500+1300,67,,3,5000
佰分购旗舰店,779.0,【24期分期 赠原厂碎屏险】红米Redmi Note 12 5G<span class=H>手机</span><span class=H>小米</span>官方旗舰店<span class=H>小米</span>note12pro红米官网正品note12pro+,688886655612,22,广东 深圳,1,1,1,0,1,骁龙4 Gen 1,4800+200,33,,2,4800
华优数码,1380.0,MIUI/<span class=H>小米</span> 11 5G<span class=H>手机</span> 骁龙888 曲面屏<span class=H>手机</span> 包邮促销,766894862330,40,浙江 杭州,0,1,1,0,0,骁龙888,10800,55,,1,10800
中国移动官方旗舰店,929.0,【至高立减310】Redmi/红米Note12 5G<span class=H>手机</span><span class=H>小米</span>中国移动官旗智能游戏学生大内存正品新品全网通,696762167545,11,浙江 杭州,1,1,1,0,0,骁龙4 Gen 1,4800+200,33,,2,4800
三际数码官方旗舰店,1349.0,现货24期分期送碎屏宝 MIUI/<span class=H>小米</span> Redmi Note 12T Pro新款<span class=H>手机</span>官方旗舰店note12tpro官网正品红米<span class=H>手机</span>note12,720188178980,18,山东 济南,1,1,1,0,0,天玑8200-Ultra,6400+800+200,67,,3,6400
苏宁易购官方旗舰店,6739.0,【24期免息 套餐一赠手环】<span class=H>小米</span>14Ultra<span class=H>手机</span>新品<span class=H>小米</span>徕卡<span class=H>小米</span>官方旗舰店官网高通骁龙8Gen3,640645622828,24,江苏 南京,1,0,1,0,0,骁龙8 Gen 3,5000+5000+5000+5000,90,,4,5000
能良数码官方旗舰店,6499.0,【享24期免息/送<span class=H>小米</span>小爱音箱】<span class=H>小米</span>14Ultra<span class=H>手机</span>新品新款上市徕卡联合研发<span class=H>小米</span>官方旗舰店官网高通骁龙8Gen3,766576664939,60,浙江 金华,1,1,1,0,0,骁龙8 Gen 3,5000+5000+5000+5000,90,,4,5000
一只羊手机店,1244.0,正品新品MIUI/<span class=H>小米</span> Redmi Note 13 Pro红米<span class=H>手机</span>超高像素学生<span class=H>手机</span>,739629061296,12,河南 郑州,1,1,1,0,0,第二代骁龙7s移动平台,20000+800+200,67,,3,20000
三际数码官方旗舰店,919.0,现货24期分期]红米Note11 Xiaomi/<span class=H>小米</span> Redmi Note11  5G<span class=H>手机</span>官方旗舰店官网正品<span class=H>小米</span><span class=H>手机</span>11红米note11Tpro,618771216582,9,山东 济南,1,1,1,0,0,天玑810,5000+800+1600,33,,3,5000
