shopTitle,price,title,item_id,realSales,procity
Ku哥信誉,245.00,MIUI/<span class=H>小米</span> 红米6 pro全网通4G双卡双待便宜老人学生工作智能<span class=H>手机</span>,732574733151,6人付款,广东 深圳
深圳正品手机店铺,318.00,MIUI/<span class=H>小米</span> 10青春版直面屏5G全网通高通骁龙游戏智能游戏正品<span class=H>手机</span>,715326295350,1人付款,广东 深圳
光速数码,519.00,MIUI/<span class=H>小米</span> Redmi 12C全网通4G红米12c 9A大屏幕老年学生智能<span class=H>手机</span>,758391028535,28人付款,广东 深圳
深圳市远航数码手机批发中心,115.00,MIUI/<span class=H>小米</span> Redmi NOTE 9 5G红米9A全网通学生老人便宜智能<span class=H>手机</span>,744521527655,12人付款,广东 深圳
深圳市远航数码手机批发中心,115.00,MIUI/<span class=H>小米</span> <span class=H>小米</span>8 青春版全网通4G骁龙工作游戏老人学生智能<span class=H>手机</span>,733633476069,3人付款,广东 深圳
林掌柜手机零售批发手机配件,260.00,MIUI/<span class=H>小米</span> 6X<span class=H>手机</span>天下游模拟定位ROOT面具工作室XP框架 LSP多开,687729149953,23人付款,广东 惠州
深圳国泰正品手机企业店铺,499.00,MIUI/<span class=H>小米</span> Redmi 12C全网通4G红米12c大屏幕老年学生智能9A<span class=H>手机</span>,750142953437,1人付款,广东 深圳
龙胜数码通讯,168.00,MIUI/<span class=H>小米</span> Redmi 6A双卡双待双电信支持高清通话学生老人备用<span class=H>手机</span>,734383570526,2人付款,广东 深圳
专心专注店,178.00,Xiaomi/<span class=H>小米</span> <span class=H>小米</span>5X工作室学生游戏 米6运行6G安卓应用双开<span class=H>手机</span>,653189825639,25人付款,广东 深圳
东信通讯数码城,168.00,MIUI/<span class=H>小米</span> Redmi Note 5全网通双卡双待note7<span class=H>手机</span>9A工作室抖音8A,720519142711,2人付款,广东 深圳
东润通讯,430.00,原屏MIUI/<span class=H>小米</span> 8 8G+128G 骁龙845 学生工作室<span class=H>手机</span> 原装未拆修,761310536325,100+人付款,广东 深圳
洪淼科技,389.00,MIUI/<span class=H>小米</span> REDMI 9红米9a全网通4G大电量红米9<span class=H>手机</span>老人学生<span class=H>手机</span>,730097838272,8人付款,广东 深圳
璇璇通讯,205.00,MIUI/<span class=H>小米</span> Redmi 7A 红米6A 5A8A全网通4G学生工作机9A智能正品,672409382894,10人付款,广东 深圳
蒂芙家,119.00,MIUI/<span class=H>小米</span> Redmi K30 5G<span class=H>手机</span> 骁龙765G后置四摄学生智能拍照特价,754199400859,4人付款,四川 成都
林掌柜手机零售批发手机配件,255.00,MIUI/<span class=H>小米</span> Redmi Note 7工作室root天下游xp框架lsp老人学生<span class=H>手机</span>,684622875181,10人付款,广东 惠州
莫拉克数码专营店,498.00,全新未激活<span class=H>小米</span>红米9A Redmi9A<span class=H>手机</span><span class=H>小米</span>正品10x老人智能<span class=H>手机</span>note8pro学生9a正品全网通4G<span class=H>手机</span>8A10x10A双卡,746373025036,3人付款,浙江 杭州
红红康电子科技,119.90,MIUI/<span class=H>小米</span> 10全面屏全网通骁龙855游戏8学生5G正品工作智能<span class=H>手机</span>,706689427466,5人付款,四川 成都
翔泰世纪通讯,650.00,MIUI/<span class=H>小米</span> Redmi Note 11 5G<span class=H>手机</span>官方同款正品学生红米note11tpro,697703998237,70人付款,广东 深圳
优品数码之家,480.00,MIUI/<span class=H>小米</span> Redmi 12c全网通4G5000毫安大电池新款老人拍照<span class=H>手机</span>,755765725452,30人付款,广东 深圳
上海立信数码,399.00,新品MIUI/<span class=H>小米</span> REDMI 10A<span class=H>手机</span>红米10a官方正品旗舰天玑老人机续航,671913634537,64人付款,广东 深圳
东信通讯数码城,430.00,MIUI/<span class=H>小米</span> 8全网通双卡双待支持NFC功能公交门禁卡刷卡性价比正品,679155990087,6人付款,广东 深圳
千里马科技,358.00,MIUI/<span class=H>小米</span> <span class=H>小米</span>8 青春版<span class=H>手机</span>小屏工作机安卓智能双卡可ROOT破解,706714288327,23人付款,广东 深圳
丰昌精品数码,445.00,MIUI/<span class=H>小米</span> Redmi note 11 Pro全网通5G note11 红米note10pro<span class=H>手机</span>,744583832145,91人付款,广东 深圳
淘天下时代数码,288.00,Xiaomi/<span class=H>小米</span> <span class=H>小米</span>6工作室天下游<span class=H>小米</span>8晓龙845性价比智能米9游戏机,700989963126,7人付款,广东 深圳
裕源益数码,330.00,MIUI/<span class=H>小米</span> Redmi Note 7 全网通4G全面屏智能学生价游戏<span class=H>手机</span>7pro,634113716930,17人付款,广东 深圳
道维尔数码港,698.00,MIUI/<span class=H>小米</span> 11 青春版骁龙780G处理器双卡双待全网通5G<span class=H>手机</span>支持NFC,749119288039,69人付款,广东 深圳
天行健手机专营店,499.00,MIUI/<span class=H>小米</span> 红米 Redmi 9A 全网通4G<span class=H>手机</span> 5000mAh大电池 长续航 大声音 老人智能<span class=H>手机</span> 学生备用机 非5G<span class=H>手机</span>,625457873787,9人付款,上海
丰昌精品数码,535.00,MIUI/<span class=H>小米</span> Redmi K30 5G全网通骁龙765G侧面指纹老人学生智能<span class=H>手机</span>,752777988208,50人付款,广东 深圳
上海立信数码,459.00,新品MIUI/<span class=H>小米</span> Redmi 12C 官方正品官网旗舰<span class=H>手机</span>红米12C学生老人,697742193719,9人付款,广东 深圳
龙胜数码通讯,480.00,MIUI/<span class=H>小米</span> Redmi Note 9 4G系列k30游戏<span class=H>手机</span>note9pro正品9A高配5G,668305157920,3人付款,广东 深圳
轩歌魅浩科技,230.00,Xiaomi/<span class=H>小米</span> 6X 5全网通4x学生老人工作室备用6pro全面屏智能<span class=H>手机</span>,693985743955,6人付款,广东 深圳
Ku哥信誉,290.00,MIUI/<span class=H>小米</span> 6X全网通4G老人学生备用工作5xpro全面屏安卓智能<span class=H>手机</span>,664397689129,6人付款,广东 深圳
武汉光大通讯,589.00,<span class=H>小米</span>红米12r MIUI/<span class=H>小米</span> Redmi 12 5G 新骁龙双面玻璃红外遥控<span class=H>手机</span>,763516579861,200+人付款,湖北 武汉
东胜科技商城,548.00,MIUI/<span class=H>小米</span> Redmi 12C新品智能<span class=H>手机</span>大音学生老年备用机老人红米12C,703655015616,8人付款,四川 成都
关爱心赫尔曼专卖店,148.00,4G全网通翻盖老年机正品超长待机老人手机大屏大字体大声音电信全,724245851793,200+人付款,广东 东莞
酷泽数码专营店,67.00,迷你学生手机4G全网通儿童手机超长待机戒网瘾专用定位微聊备用小手机,730210537664,200+人付款,广东 揭阳
酷泽数码专营店,128.00,[官方直营]儿童手机学生专用手机戒网瘾全网通4g网红儿童小手机迷你男,763777312726,43人付款,广东 深圳
丰昌精品数码,555.00,MIUI/<span class=H>小米</span> Redmi Note 9 Pro全网通5G骁龙750处理器note9智能<span class=H>手机</span>,760784370528,100+人付款,广东 深圳
淘天下时代数码,288.00,MIUI/<span class=H>小米</span> 9<span class=H>手机</span>全面屏骁龙855<span class=H>小米</span>8游戏机5G米8青春版<span class=H>小米</span>6<span class=H>手机</span>,672633327209,12人付款,广东 深圳
Ku哥信誉,320.00,MIUI/<span class=H>小米</span> <span class=H>小米</span>CC9SE全网通屏幕指纹6X新款美颜拍照学生智能<span class=H>手机</span>,706586695866,7人付款,广东 深圳
yiyi数码,239.00,MIUI/<span class=H>小米</span> max2全网通4G大屏游戏学生老人工作备用机双卡百元<span class=H>手机</span>,761594463379,5人付款,广东 深圳
凡诚毅,175.00,MIUI/<span class=H>小米</span> 8SE骁龙710AI双摄 米8青春版智能指纹全面屏老人<span class=H>手机</span>,654899142304,23人付款,广东 深圳
精品老年手机卖场,665.00,<span class=H>小米</span>老人机 超长待机官方大屏旗舰大字声音大正品店智能老年<span class=H>手机</span>,625758755926,43人付款,浙江 杭州
红人馆通讯,428.00,MIUI/<span class=H>小米</span> Redmi K40全网通5G骁龙870处理器智能红米<span class=H>小米</span>6<span class=H>手机</span>pro,754570386533,51人付款,广东 深圳
通达数码668,95.00,Xiaomi/<span class=H>小米</span> 红米3全网通红米2A双卡移动4G红米2安卓智能学生<span class=H>手机</span>,674940008504,3人付款,广东 深圳
凡诚毅,172.00,MIUI/<span class=H>小米</span> 6X全网全面屏 米6骁龙835游戏工作室5X安卓智能<span class=H>手机</span>,654114046231,9人付款,广东 深圳
2009工作室吧,275.00,MIUI/<span class=H>小米</span> <span class=H>小米</span>8 青春版可开BL面具ROOT米8SE游戏工作室原装<span class=H>手机</span>,671246881162,7人付款,广东 深圳
深圳市远航数码手机批发中心,339.00,MIUI/<span class=H>小米</span>REDMI 9A 5000mAh大电量八核处理器智能<span class=H>手机</span>官方正品10A,756181824213,51人付款,广东 深圳
光速数码,169.00,MIUI/<span class=H>小米</span> Redmi 8A红米8a<span class=H>手机</span>9a大电池老人学生智能note8<span class=H>手机</span>,747329371321,9人付款,广东 深圳
光速数码,279.00,MIUI/<span class=H>小米</span> REDMI 10A红米9A八核大电量屏幕老人学生智能<span class=H>手机</span>正品,747386493630,15人付款,广东 深圳
道维尔数码港,205.00,MIUI/<span class=H>小米</span> Redmi 6 Pro全网通双卡双待支持电信高清通话抖音快手,644522079098,6人付款,广东 深圳
小米领英专卖店,549.00,新品【现货速发】<span class=H>小米</span>红米12C <span class=H>手机</span>5000mAh大电量大屏幕智能<span class=H>小米</span>官方专卖店官网4G同款正品Redmi10A 9A,713942710664,24人付款,广东 深圳
鸿图卓信Store,390.00,MIUI/<span class=H>小米</span> <span class=H>小米</span>8 青春版学生正品骁龙双摄全面屏老年人拍照<span class=H>手机</span>,719499942485,42人付款,江西 宜春
新飞通讯,168.00,MIUI/<span class=H>小米</span> 红米6a 5A 4A 4X 红米2全网通4G智能老人学生<span class=H>手机</span>正品,740008992376,2人付款,广东 深圳
淘天下时代数码,278.00,MIUI/<span class=H>小米</span> 8<span class=H>手机</span>晓龙845游戏机<span class=H>小米</span>6学生智能机米8青春米9全面屏,702930378314,15人付款,广东 深圳
翔泰世纪通讯,350.00,MIUI/<span class=H>小米</span> Redmi 9A红米9a<span class=H>手机</span>8a老人学生大电池10a智能note8<span class=H>手机</span>,670632933418,4人付款,广东 深圳
苏宁易购官方旗舰店,768.00,MIUI/<span class=H>小米</span> Redmi 红米12C官方旗舰店大音量学生老年备用机老人百元机12c智能<span class=H>手机</span>【2004】,735486870107,22人付款,北京
恒煌通信,248.00,MIUI/<span class=H>小米</span> <span class=H>手机</span>6 全网通高通骁龙835学生智能6g+128g工作室<span class=H>手机</span>,669917583008,26人付款,广东 深圳
君胜数码专营店,579.00,【新品】Redmi<span class=H>小米</span>红米12C 大电池大音量智能<span class=H>手机</span><span class=H>小米</span>官方旗舰正品店红大音量长续航学生中老人年备用<span class=H>手机</span>,696374916039,6人付款,广东 深圳
启能数码专营店,399.00,【全新】<span class=H>小米</span>Redmi 7A 5.45英寸全面屏 移动4G 骁龙八核 人脸识别 智能<span class=H>手机</span> 红米7A,598997966427,2人付款,北京
龙胜数码通讯,288.00,MIUI/<span class=H>小米</span> Redmi Note 7吃鸡王者神器全面屏水滴屏高配note7pro,708351125039,3人付款,广东 深圳
淘百优选,599.00,MIUI/<span class=H>小米</span> REDMI 10A 4G 智能<span class=H>手机</span>大电量千元机大屏幕老年人学生,742820544803,300+人付款,北京
威哥仔数码,498.00,MIUI/<span class=H>小米</span> 10 PRO 青春版 三网通5G<span class=H>手机</span>游戏备用工作老年人学生,753245841539,37人付款,广东 深圳
蒂芙家,119.00,MIUI/<span class=H>小米</span> 红米Note 4X<span class=H>手机</span>智能全网通备用学生老人王者米5<span class=H>小米</span>4C,704449236928,8人付款,四川 成都
超人数码优选,269.00,MIUI/<span class=H>小米</span> Xiaomi 8 SE双卡双待全网通小屏智能<span class=H>手机</span>游戏机工作机,742878432664,0人付款,广东 深圳
龙胜数码通讯,158.00,MIUI/<span class=H>小米</span> Redmi Note 5A小屏4X智能<span class=H>手机</span>6A双卡双待9A双电信红米7,641571146343,3人付款,广东 深圳
道维尔数码港,180.00,MIUI/<span class=H>小米</span> 红米Note4X 32G全网通4G双卡双待7A工作室<span class=H>手机</span>6A正品9A,635020457037,2人付款,广东 深圳
展米数码,270.00,MIUI/<span class=H>小米</span> 6X<span class=H>手机</span> 天下游定位ROOT权限面具 工作室柜展安卓XP框架,755307386496,9人付款,广东 深圳
